text,class
Tuy là xe bánh tráng trộn này hơi nhỏ nhưng chất lượng bánh tráng lại khá ngon Bánh được cắt rất nhỏ so với những chỗ khác nên rất dễ ăn  Có mỗi một điểm trừ là đũa ở đây ốm nhom nhỏ xíu nên hơi khó ăn,{AMBIENCE#GENERAL#NEU};{FOOD#QUALITY#POS};{FOOD#STYLE&OPTIONS#POS};{RESTAURANT#MISCELLANEOUS#POS}
Quán có nhiều món đặc trưng huế như cơm mỳ bún hến bánh nậm bánh lọc bún bò huế Các món hến thì ok bún bò không đậm đà lắm bánh lọc khá nhiều bột nên ăn có cảm giác ngấy Khó chịu nhất ở quán này là nhìn mặt tính tiền trong quán không có bảng giá nhất định ngày thường đi xe máy là 10k 1 tô cơm hến lúc đi ô tô thì lên 12 15 k khi hỏi lại thì nhân viên làm lơ cũng tương tự vậy đối với các khách ở tỉnh khác mình thấy như vậy rất mất uy tín,{FOOD#QUALITY#NEG};{FOOD#PRICE#NEG};{SERVICE#GENERAL#NEG}
Quán đơn giản không cầu kì dễ ngồi làm việc Thích cappuccino ở quán này,{AMBIENCE#GENERAL#POS};{FOOD#QUALITY#POS}
Giá nước uống hợp lý Nhân viên phục vụ nhiệt tình Soda dâu rừng trà đen còn hơi lạt Sinh tố Dâu rừng ngon ngọt vừa miệng Bánh nướng đào Thơm Không ngán,{DRINK#PRICE#POS};{SERVICE#GENERAL#POS};{DRINK#QUALITY#NEU};{FOOD#QUALITY#POS}
Gà giòn Khoai chiên ngon Khoai nghiền tạm Bánh ăn chung với kem rất ngon mình thích nhất,{FOOD#QUALITY#POS}
Thấy nhiều bạn bình luận tốt về quán Nên tối nay quyết định đến ăn thử,{RESTAURANT#MISCELLANEOUS#POS}
Mình từng ăn quán khoảng 5 6 lần hôm nay rủ 4 người bạn nữa vô ăn nói chung thức ăn vẫn ok mà sao nhân viên cái thái độ gì hay vậy mình gọi 5 món món nào bưng lên cũng không đầy đủ thiếu sốt chấm thiếu muỗng múc thiếu cơm đã vậy trên bàn ống đũa cũng không còn gọi nhân viên thì cái kiểu như làm phiền gọi nước suối không có cũng im im gần xong mới nói không có dắt xe khổ cực vậy nhân viên giữ xe ngồi nhìn đứng hình mọi khi có mấy anh chị nhân viên cũ được lắm mà,{FOOD#QUALITY#POS};{SERVICE#GENERAL#NEG}
Bánh ngon đặc biệt mùi bắp thơm ghê gớm mùi cà phê với mùi hoa hồng hay hoa gì đó không ngon bằng nhưng đặc biệt Bánh su kem ngán bỏ vào miệng kem ngập lun nhưng không béo mà nó nhìu kem quá ăn ớn ớn Vỏ bánh dẻo dẻo ngộ ngộ ăn tạm được tuy nhiên mình thích su kem truyền thống hơn Nghe bạn mình nói su kem ở đây là su kem Hàn Quốc hay gì đó không biết phải không  nước uống tạm không đặc biệt không gian hơi hẹp không có lầu ít bàn lắm hẹn hò cũng được lắm Nhân viên thân thiện dễ thương,{FOOD#QUALITY#NEU};{DRINK#QUALITY#NEU};{AMBIENCE#GENERAL#NEG};{SERVICE#GENERAL#POS}
Đồ ăn thì ương thiu không gian không có gì đặt biệt đặt biệt là quản lý thật sự nhìn thấy kinh tởm lợm vô thức học mà ra vẻ ta đây,{FOOD#QUALITY#NEG};{AMBIENCE#GENERAL#NEU};{SERVICE#GENERAL#NEG}
Trà sữa có vị ngon đậm đà nhân viên phục vụ nhiệt tình không gian thoáng bắt mắt,{DRINK#QUALITY#POS};{SERVICE#GENERAL#POS};{AMBIENCE#GENERAL#POS}
Trà sữa trà xanh ổn nhất nếu nói về trà sữa thì quán này là tốt so với quán khác có điều quán rất ồn nhiều khi phải hét lên mới nghe được Do khách khá đông lại kèm thêm ăn vặt nền nhiều khi phục vụ không kịp bàn không kịp lau Mỗi lần chờ tính tiền thì rất lâu,{DRINK#QUALITY#POS};{RESTAURANT#MISCELLANEOUS#NEU};{SERVICE#GENERAL#POS}
Món nào cũng tươi và ngon phục vụ tận tình nhanh nhẹn chu đáo nói chung là hài lòng,{FOOD#QUALITY#POS};{SERVICE#GENERAL#POS}
Tối nào làm về cũng ghé làm một dĩa cực thích bánh ở đây mềm mềm bùi bùi thơm và béo cô này bán bánh với rau câu rau câu cũng ngon ăn mát Cái nào cũng đồng giá 5k ,{FOOD#QUALITY#POS};{FOOD#PRICE#POS}
Đồ uống ngon đa dạng có tủ truyện tranh cho Fa đọc cho đỡ cô đơn,{DRINK#QUALITY#POS};{SERVICE#GENERAL#POS}
mình ăn ở đây mấy lần rồi ngon lắm luôn mình nghĩ đồ ăn ở đây ngon và chất lượng nhất sài gòn đấy ăn phần lớn 25k là no cả buổi luôn,{FOOD#QUALITY#POS};{FOOD#PRICE#POS}
Ở đây phục vụ mất dạy lắm tốt nhất các bạn nên ăn ở chi nhánh Điện Biên Phủ ngay bên cạnh cây xăng petrolimex Hôm bữa mình tới ăn chọn phần ốp la 5 món thì ở đó bảo hết rồi trong khi những combo 2 3 4 đều bao gồm cái ốp la 5 món bên trong Mình có hỏi tại sao thì nhân viên bên đó lơ hỏi một câu cộc lốc giờ anh ăn món gì chọn lẹ ĐI để  xuống báo làm Tại vì dẫn bạn mình vô ăn mà thấy thái độ vậy ăn đúng hôm đó không bao giờ tới Thề né chỗ D2 ra nha,{SERVICE#GENERAL#NEG}
Bánh quá bình thường nếu không muốn nói là hơi khô phục vụ thì quá chán cứ kiểu khó chịu như là mình đi xin người ta bánh ý,{FOOD#QUALITY#NEG};{SERVICE#GENERAL#NEG}
Cảnh báo các bạn đi ngang qua đây chớ có tạt vô Bún ốc lèo tèo treo cái biển được 2 con ốc thôi à thêm được 1 tẹo thịt bò í thành 50k luôn đó Nước dùng thì siêu chán lại còn nguội ngắt Thái độ phuc vụ kém không coi khách hàng ra gì ạ,{FOOD#PRICE#NEG};{DRINK#QUALITY#NEG};{SERVICE#GENERAL#NEG}
chờ lâu gọi 5 cánh 5 chân thì đưa ra được 4 cánh 3 chân mà nguội  mình để ý là họ đã làm sẵn cho vào thùng xốp rồi ai gọi chỉ cho lên làm nóng qua loa nên nhanh nguội Chờ thì rõ lâu cánh vs chân thì như kiểu lấy của gà suy dinh dưỡng nhưng thấy funny nhất là tính tiền khăn ăn và không hề có giấy ăn cực kì mất cảm tình mặc dù không đáng là bao thề không bao giờ quay lại,{FOOD#QUALITY#NEG};{SERVICE#GENERAL#NEG}
Lạp xưởng này giống kiểu xúc xích nhưng dai hơn  Phải chờ hơi lâu Hôm mình đi phục vụ hơi chậm và lóng ngóng Điểm cộng là sốt quét khá ngon đặc biệt là vị BBQ,{FOOD#QUALITY#POS};{SERVICE#GENERAL#NEU}
Nhân viên khá thân thiện phục vụ hơi chậm Thức ăn nêm nếm được Giá hơi đắt so với chất lượng Giữ xe khá bất tiện,{SERVICE#GENERAL#NEU};{FOOD#QUALITY#NEU};{FOOD#PRICE#NEU};{RESTAURANT#MISCELLANEOUS#POS}
Quán được cái không gian thoáng mát nhân viên nhiệt tình,{AMBIENCE#GENERAL#POS};{SERVICE#GENERAL#POS}
Nhân viên phục vụ cho đến quản lý nói chuyện với khách cộc lốc ngang ngang và không thân thiện tí nào 2 Khi mình hỏi về ưu đãi cho bé thì phục vụ lờ đi trong khi có đến 3 combo kid 3 Các vật dụng như giấy lau không để sẵn cho khách,{SERVICE#GENERAL#NEG}
Vừa vô tặng ly nước ngọt là thấy có cảm tình rồi mình ăn sáng nên kêu 1 phần bò đặt biệt luôn Ko phải nói chứ gì mà đặt biệt thiệt chất lượng nữa chứ ăn xong chắc lên cả kí chứ không ít mà giá thì khá là mềm vị cũng ok phục vụ cũng khá nhiệt tình thân thiện Good,{FOOD#QUALITY#POS};{SERVICE#GENERAL#POS}
Mới đây mình có đến ăn tại nhà hàng Mình rất hài lòng đặc biệt giá cả so với mặt bằng chung khá là rẻ 3 Nhân viên phục vụ thì rất nhiệt tinh chu đáo Quán nằm ngay mặt đường Đại Cồ Việt lại còn to nên rất dễ tìm và dễ đi Bước vào quán là không gian sang trọng nhưng vẫn có gì đó rất gần gũi thoải mái Đồ ăn thì khá là ngon,{RESTAURANT#GENERAL#POS};{FOOD#PRICE#POS};{LOCATION#GENERAL#POS};{AMBIENCE#GENERAL#POS};{FOOD#QUALITY#POS}
Ly nhỏ hơn nhưng vẫn ngon như thường,{DRINK#QUALITY#POS}
Nhóm mình uống thì ngọt khá gắt soda thì ít gas còn trà sữa thái thì lạt và có vị hơi chua của trà trà đào thì ổn Còn về view quán khá đẹp yên tĩnh,{DRINK#QUALITY#NEU};{AMBIENCE#GENERAL#POS}
Không gian quán rất ấn tượng mặc dù hơi nhỏ nên phải đi sớm mới còn chỗ ngồi Nhân viên thì cực kỳ nhanh nhẹn chất lượng phục vụ rất tốt Nghe nhạc live ở đây cực kỳ đã tai âm thanh hay ca sĩ hát hay và chất Mình đến hôm có ban nhạc gì đó ở Hà Nội vào biểu diễn nhưng mà thú thật không ấn tượng bằng band của On The Radio,{AMBIENCE#GENERAL#POS};{SERVICE#GENERAL#POS};{RESTAURANT#MISCELLANEOUS#POS}
Gà rán làm ngon nhưng gà khá khô ở đây đặc biệt là khoai tây nghiền và bánh mì mật ong hình như gọi v ăn rất là ngon và dễ gây nghiện có gà không xương kèm sốt ngon và thơm nói chung giá cả ổn ,{FOOD#QUALITY#POS};{FOOD#PRICE#POS}
mùi cà phê thơm ơi là thơm Thực tình không thể cưỡng lại được dư vị dễ chịu này Với Không gia nhỏ bé đầy nhưng ấm cúng với các dãy bàn liền kề nhau nhân viên cực kỳ thân thiện niềm nở Đồ uống có cream ở starbuck không hề bị ngọt mình thấy nó khá là béo với cái vị đắng đặc trưng của cf để rồi sảng khoải cả ngày sau đấy,{RESTAURANT#MISCELLANEOUS#POS};{AMBIENCE#GENERAL#POS};{DRINK#QUALITY#POS}
Bánh mì xẹp lép nhưng nguyên liệu bên trong ngon khoai thì được mấy miếng thôi nhưng thái miếng to chứ không phải cái que như kfc hay lotte nên thành ra giá không phải quá đắt Quán dễ tìm vỉa hè rộng ra trang trí chuyên nghệp và sạch sẽ Nhất là rất ưng thái độ phục vụ lúc nào nhìn khách là cười đi mua mang về ngày mưa còn được che ô đến tận cửa ra tận xe Nói chung là sẽ còn quay trở lại,{FOOD#QUALITY#POS};{FOOD#PRICE#POS};{AMBIENCE#GENERAL#POS};{SERVICE#GENERAL#POS}
Đến quán ăn mấy lần rồi nhìu món ăn ngon mà giá lại rẻ,{FOOD#PRICE#POS}
